Temps (s),AccMs.RsolZ,VitMs.RsolZ,DepMs.RsolZ,AccMns.RlgZ,VitMns.RlgZ,DepMns.RlgZ,PtR.RlgZ,Tyre.Defl,NLG.v,NLG.d,NLG.Ftot,NLG.Fhyd,Tyre.FTyre,NLG.FFriJoi,NLG.FGas,NLG.FFriBag,PtB.RlgZ,PtGb.RlgZ,PtGt.RlgZ,NLG.XGb,NLG.XGt,Tyre.Alpha,Tyre.Omega,TR_sl.RsolX,Tyre.Mu,Tyre.Slip,VGR,Total friction,Metering pin Damping factor,Tyre.Omega,Ac Vz,NLG.Pc,Fx ptB (kN) /lg,Fz ptB (kN)/lg,M/y ptB (N.m) /lg,Fx ptB (kN) /sol,Fy ptB (kN) /sol,Fz ptB (kN)/sol,M/x ptB (N.m) /sol,M/y ptB (N.m) /sol,M/z ptB (N.m) /sol,NLG.Pd,NLG.Pg,,Tyre.FSpin,Tyre.Vitx,Tyre.Depx,,,,,,,,,,,,,
0,-3.237278195796719,-3.051618639097898,-0.001525809319548949,-0.003524040448390812,-3.003665408707459,-0.0015018327043537295,0.17849816729564627,0.004213620948777391,0.0015922863127144637,-7.163856843642702e-06,198.17943206763783,0.3282040052148958,1177.823178595255,118.1998371842945,796.0370752423986,114.0134873141028,20.97850587169791,0.66550533115249,0.8184981672956463,-785.3971970456419,597.6469709911136,859.2900953666533,0.4296450476833267,17.03542896681601,0.2695,1,-187.7502260545283,232.2133244983973,0,4.102807986825271,-3.051618639097898,4.054867245047994,-187.7502260545283,1162.8875691539517,135.78549258661008,0.01703542896681603,0,1.1778231785952549,0,135.78549258661008,0,4.049741593604584,4.0541835330957685,0,317.4233466314213,0.05238009020320483,2.6190045101602417e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0005,-2.998796203352158,-3.053118037199574,-0.003052368338148736,141.78244162870186,-2.932774187893108,-0.0029682197983002833,0.1770317802016997,0.005657730327812999,0.07396012600244761,2.9816206157581106e-05,1133.2049985642736,39.57544592525906,1581.4915483256807,149.30523844365314,796.2646489295812,184.08347228251415,20.97850587169791,0.6640019639955422,0.8170317802016998,-976.973506573482,743.3702625903177,1146.2429979529106,1.002766546659782,41.652679168879075,0.26995501848815456,0.997931734144752,-233.60324398316433,333.3887107261673,7234.866675418242,9.575715160085641,-3.053118037199574,4.29787214646916,-233.60324398316433,1564.6980499470326,164.8156524335466,0.0416526791688791,0,1.5814915483256806,0,164.8156524335466,0,4.018107274725974,4.055342556367216,0,426.9315801671193,0.12001971911414597,8.61999046586754e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,-2.0262488524051885,-3.0541311616257767,-0.004579433918961625,65.91154072767085,-2.8998184175292727,-0.00441812900706492,0.17558187099293507,0.007085612157768234,0.10791362915597302,8.377302073556761e-05,1209.7171743670167,74.29010598676716,1980.623870872223,150.73758084991806,796.5969586534017,217.93964961197514,20.97850587169791,0.6624980979721996,0.8155818709929351,-1132.4772801054728,861.5961943260883,1426.9576490283514,1.7162453711739576,74.17756391311934,0.27055914881513166,0.9951856872039472,-270.88108577938453,368.6772304618932,6379.378664105465,16.3889360628552,-3.0541311616257767,4.554154125095207,-270.88108577938453,1963.4145426333012,185.88601911364,0.07417756391311935,0,1.9806238708722228,0,185.88601911364,0,4.117420009369517,4.05703499589309,0,535.8759086261199,0.20157470747342662,0.00018698725839538872,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0015,-1.9405703045249332,-3.055101446778039,-0.006106984642350644,120.64170792187319,-2.839497563568336,-0.005837877788849088,0.1741621222111509,0.008483791765398901,0.16919002745749046,0.00016836803446431284,1321.8068282764984,147.56538978988144,2371.4536037138664,152.27599281329154,797.1184396528718,247.74723671455789,20.97850587169791,0.6609937541766867,0.8141621222111509,-1248.24855365371,949.5107507403989,1699.4097271102241,2.5659502347290695,114.80493877861971,0.27130798820773916,0.9917818717830039,-298.73780291331104,400.0232295278494,5155.0749931539485,24.503019815096433,-3.055101446778039,5.095424383096172,-298.73780291331104,2355.361563252227,198.32558212798767,0.11480493877861978,0,2.3714536037138663,0,198.32558212798767,0,4.329960444881093,4.059690876814503,0,643.3943063516022,0.29550486299132805,0.00033473968989105273,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,-1.819916871678229,-3.0560114052138783,-0.007634990344957584,168.44241738027074,-2.755276354878201,-0.007215515966288188,0.1727844840337118,0.00984050052338653,0.2543073702701588,0.00029552171959939226,1486.8573779389087,278.20905050688776,2750.691091182849,153.69450132569156,797.9033690260383,272.06384132937376,20.97850587169791,0.6594889623141126,0.8127844840337118,-1321.5217703047606,1004.9852558630782,1961.9856252113389,3.546943047334739,163.601454572304,0.27219621474115036,0.9877444784493166,-316.5365144416823,425.75834265506535,4301.831151085656,33.870811130925254,-3.0560114052138783,6.075070476516941,-316.5365144416823,2737.3110071886194,201.64489490851585,0.1636014545723039,0,2.750691091182848,0,201.64489490851585,0,4.755934851915038,4.063688489285462,0,748.7277029421759,0.4001125798500007,0.0005347959798160531,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0025,-1.6464783640675598,-3.056834644395912,-0.00916340766715554,205.90670750010466,-2.6523230011281487,-0.008541677466852263,0.17145832253314772,0.011146514650888367,0.3580714563492613,0.0004745574477740229,1718.4344177688038,481.0411673813344,3115.7580323349375,155.10715648691504,799.010811136985,289.4470894254976,20.97850587169791,0.6579837650853739,0.8114583225331478,-1350.6132302141586,1026.73078054193,2213.5967400203344,4.653741417344906,220.513347939841,0.27321782794992716,0.9831007820457858,-323.8824496722285,444.5542459124126,3751.827302806336,44.43995702651549,-3.056834644395912,7.610609833825232,-323.8824496722285,3106.7144077744956,195.56079759109215,0.22051334793984093,0,3.1157580323349374,0,195.56079759109215,0,5.463873273075704,4.069328645642111,0,851.2806420120905,0.5135909936189423,0.0007915914766255242,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,-1.406337555156417,-3.0575378131734903,-0.010692176573742284,230.35136389062725,-2.537147319182835,-0.009810251126443681,0.1701897488735563,0.012395815826121037,0.4739396243584104,0.0007115272599532281,2023.158250575021,764.2398830111629,3464.972140372416,156.6484386123103,800.4806531287815,298.25734669332087,20.97850587169791,0.6564782216136033,0.8101897488735563,-1335.041892328455,1014.399191975604,2453.755521781458,5.880619178235635,285.3789449056239,0.27436642664547733,0.9778798788841941,-320.642700352851,454.9057853056312,3402.3865921413026,56.155776639432055,-3.0575378131734903,9.76987853558865,-320.642700352851,3461.886961537433,180.0099486558637,0.2853789449056238,0,3.464972140372416,0,180.0099486558637,0,6.500811980389458,4.076814489435981,0,950.672024580111,0.6340792240876337,0.001108631088669341,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0035,-1.0926916739943746,-3.0580841590104875,-0.012221218653247528,240.3767733486429,-2.4169589325085132,-0.011018730592697937,0.16898126940730204,0.013585935773844288,0.5946660566488329,0.0010088602882776445,2398.5434257053053,1127.0784735768466,3797.643464342301,158.41371387000217,802.3314517395228,296.83145233114334,20.97850587169791,0.6549724091190245,0.8089812694073021,-1275.5504020283652,968.6034275648609,2682.5948913356688,7.22191662390347,357.94487956665654,0.2756355039747017,0.9721113455695378,-306.94697446350426,455.2451662011455,3187.1892762995767,68.96422375750618,-3.0580841590104875,12.558022446010407,-306.94697446350426,3802.105202902397,155.1468072809669,0.3579448795666564,0,3.7976434643423005,0,155.1468072809669,0,7.897120040668893,4.086240529358129,0,1046.7653702102223,0.7597205483953232,0.0014884913628670027,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,-0.7080801630083652,-3.0584381990919915,-0.013750437752793524,236.24168523081372,-2.2988380898931062,-0.01216814963764449,0.16783185036235548,0.014717892560767554,0.7131355606813821,0.0013654280686183355,2832.9254007494947,1559.5217563228368,4114.056581946836,160.46085963229362,804.560624945161,283.8000180746924,20.97850587169791,0.6534664222937373,0.8078318503623555,-1174.0097024002425,890.843280106923,2900.8212171220093,8.672327232464474,437.8844547693594,0.27701873503126107,0.9658239316760862,-283.1664222933195,444.260877706986,3066.530237772324,82.81462482943066,-3.0584381990919915,15.915373822705648,-283.1664222933195,4127.592655831525,121.32405062052737,0.43788445476935944,0,4.114056581946835,0,121.32405062052737,0,9.66796641475819,4.0975936152680585,0,1139.670750177946,0.8887182168130278,0.0019328504712735166,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0045000000000000005,-0.2644641554230175,-3.058570431169703,-0.015279722968378377,219.87489947609023,-2.1889006401550613,-0.013262599957722021,0.16673740004227797,0.01579571572126659,0.8232032335947541,0.0017770296854157125,3297.648917561819,2033.87982121456,4415.337859094205,163.01468455999978,807.1470401855571,258.37100347706564,20.97850587169791,0.6519603703568624,0.806737400042278,-1033.2167062977703,783.344498763212,3109.6055172710608,10.227129991100004,524.8163044006305,0.2785102309890406,0.9590444045952702,-249.87220753455836,421.3856880370654,3001.312051967196,97.66189750361623,-3.058570431169703,19.72668499874149,-249.87220753455836,4439.39235067336,79.05711247856797,0.5248163044006305,0,4.415337859094205,0,79.05711247856797,0,12.009126503525202,4.110766119920771,0,1229.716767030983,1.0193836148760018,0.0024425422787115176,0,0,0,0,0,0,0,0,0,0,0,0,0
